Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
BABY,BABY WIPES,0.19460,2022-04-09 00:00:00
BABY,BABY WIPES,1.45000,2022-04-11 00:00:00
BABY,BABY WIPES,0.84940,2022-04-12 00:00:00
BABY,BABY WIPES,0.66930,2022-04-13 00:00:00
BABY,BABY WIPES,2.26610,2022-04-14 00:00:00
BABY,BABY WIPES,0.20080,2022-04-18 00:00:00
BABY,BABY WIPES,1.20640,2022-04-19 00:00:00
BABY,BABY WIPES,0.30710,2022-04-20 00:00:00
BABY,BABY WIPES,1.66610,2022-04-21 00:00:00
BABY,BABY WIPES,0.71050,2022-04-22 00:00:00
BABY,BABY WIPES,0.30590,2022-04-23 00:00:00
BABY,BABY WIPES,2.04630,2022-04-25 00:00:00
BABY,BABY WIPES,1.01400,2022-04-26 00:00:00
BABY,BABY WIPES,0.48490,2022-04-27 00:00:00
BABY,BABY WIPES,2.36650,2022-04-28 00:00:00
BABY,BABY WIPES,1.19450,2022-04-29 00:00:00
BABY,BABY WIPES,0.35580,2022-04-30 00:00:00
BABY,BABY WIPES,0.67780,2022-05-03 00:00:00
BABY,BABY WIPES,1.73120,2022-05-04 00:00:00
BABY,BABY WIPES,0.19370,2022-05-05 00:00:00
BABY,BABY WIPES,1.94630,2022-05-06 00:00:00
BABY,BABY WIPES,0.27460,2022-05-07 00:00:00
BABY,BABY WIPES,0.61460,2022-05-09 00:00:00
BABY,BABY WIPES,0.22440,2022-05-10 00:00:00
BABY,BABY WIPES,1.39540,2022-05-11 00:00:00
BABY,BABY WIPES,1.16620,2022-05-12 00:00:00
BABY,BABY WIPES,1.08860,2022-05-13 00:00:00
BABY,BABY WIPES,0.09440,2022-05-14 00:00:00
BABY,BABY WIPES,0.72360,2022-05-16 00:00:00
BABY,BABY WIPES,0.14710,2022-05-17 00:00:00
BABY,BABY WIPES,2.06770,2022-05-18 00:00:00
BABY,BABY WIPES,0.42400,2022-05-19 00:00:00
BABY,BABY WIPES,0.91680,2022-05-20 00:00:00
BABY,BABY WIPES,0.67660,2022-05-21 00:00:00
BABY,BABY WIPES,0.78970,2022-05-23 00:00:00
BABY,BABY WIPES,1.05860,2022-05-24 00:00:00
BABY,BABY WIPES,1.59060,2022-05-25 00:00:00
BABY,BABY WIPES,0.50250,2022-05-26 00:00:00
BABY,BABY WIPES,1.42490,2022-05-27 00:00:00
BABY,BABY WIPES,0.48160,2022-05-28 00:00:00
BABY,BABY WIPES,1.40730,2022-05-30 00:00:00
BABY,BABY WIPES,0.88520,2022-05-31 00:00:00
BABY,BABY WIPES,1.50530,2022-06-01 00:00:00
BABY,BABY WIPES,1.99480,2022-06-02 00:00:00
BABY,BABY WIPES,3.04750,2022-06-03 00:00:00
BABY,BABY WIPES,0.54110,2022-06-04 00:00:00
BABY,BABY WIPES,3.15310,2022-06-06 00:00:00
BABY,BABY WIPES,1.07820,2022-06-07 00:00:00
BABY,BABY WIPES,2.18970,2022-06-08 00:00:00
BABY,BABY WIPES,0.48210,2022-06-09 00:00:00
BABY,BABY WIPES,0.82820,2022-06-10 00:00:00
BABY,BABY WIPES,0.73440,2022-06-13 00:00:00
BABY,BABY WIPES,1.32050,2022-06-14 00:00:00
BABY,BABY WIPES,2.34650,2022-06-15 00:00:00
BABY,BABY WIPES,0.36220,2022-06-16 00:00:00
BABY,BABY WIPES,1.94230,2022-06-17 00:00:00
BABY,BABY WIPES,0.39560,2022-06-18 00:00:00
BABY,BABY WIPES,1.34150,2022-06-20 00:00:00
BABY,BABY WIPES,1.12060,2022-06-21 00:00:00
BABY,BABY WIPES,1.64570,2022-06-22 00:00:00
BABY,BABY WIPES,0.35800,2022-06-23 00:00:00
BABY,BABY WIPES,2.34580,2022-06-24 00:00:00
BABY,BABY WIPES,1.19050,2022-06-27 00:00:00
BABY,BABY WIPES,0.92860,2022-06-28 00:00:00
BABY,BABY WIPES,1.06630,2022-06-29 00:00:00
BABY,BABY WIPES,-0.03950,2022-06-30 00:00:00
BABY,BABY WIPES,1.01910,2022-07-01 00:00:00
BABY,BABY WIPES,0.44940,2022-07-02 00:00:00
BABY,BABY WIPES,1.34250,2022-07-04 00:00:00
BABY,BABY WIPES,0.79770,2022-07-05 00:00:00
BABY,BABY WIPES,1.38470,2022-07-06 00:00:00
BABY,BABY WIPES,0.26900,2022-07-07 00:00:00
BABY,BABY WIPES,1.10370,2022-07-08 00:00:00
BABY,BABY WIPES,0.21630,2022-07-09 00:00:00
